theme,citation
"Origine sociale et destin","de naissance commune;ascendant de ma destinée qui entraînerait à ma perte"
"Passion et plaisir","passionné pour le plaisir;péché sans malice;poison du plaisir;l'inclinaison qu'elle avait pour le luxe et les plaisirs"
"Complexité morale","mélange de vertue et de vice;l'amour et la jeunesse avaient créés tous nos désordres"
"Fidélité et trahison","la fidelite est une sotte vertue;j'étais heureux pour toute ma vie, si Manon m'eût été fidèle"
"Relations familiales","adieu fils ingrat et rebel;Je vous averti mon ami, Je vous aime comme un frère et non un compagnon;Je fais tout pour te protéger"
"Argent et matérialisme","laisse moi le ménagement de notre fortune"
